mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
ane,8k,10000,2048,256,1,ok,228.78,45135,7849.975,5060.159,23598.61,890,890,2150,,,409931,74.48%,6838.918,6838.918,132.189,600.887,3.733,12.143,7531.878,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr256_r1.summary.txt
ane,8k,10000,2048,512,1,ok,220.76,46530,8196.531,5164.674,23506.67,219,219,801,,,172940,84.34%,1792.144,1792.144,1.968,165.326,1.485,13.798,7606.140,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c2048_mr512_r1.summary.txt
gpu,8k,10000,4096,0,1,ok,263.83,27935,5037.479,3034.625,23359.62,,,,,,,,,,,,,0.000,8160.624,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c4096_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c4096_r1.summary.txt
ane,8k,10000,4096,32,1,ok,305.56,25417,5078.127,3140.221,20875.82,6115,6115,8972,,,1390936,60.56%,29660.097,29660.097,2094.540,3855.345,23.543,5.109,8036.491,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr32_r1.summary.txt
ane,8k,10000,4096,64,1,ok,306.87,25412,4954.192,3073.347,21367.82,4842,4842,7671,,,1330223,67.74%,26661.049,26661.049,2013.892,3096.406,19.099,8.534,7928.982,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr64_r1.summary.txt
ane,8k,10000,4096,128,1,ok,302.82,25755,4831.554,3033.869,22102.59,3094,3094,5829,,,1144193,76.68%,23417.868,23417.868,1880.512,2030.970,12.562,0.863,8346.739,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr128_r1.summary.txt
ane,8k,10000,4096,256,1,ok,294.10,26636,4871.935,3038.834,22727.63,1469,1469,4027,,,813233,78.88%,17223.008,17223.008,1266.171,1036.669,6.635,4.723,8060.168,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr256_r1.summary.txt
ane,8k,10000,4096,512,1,ok,286.65,27159,5031.557,3040.607,22710.55,492,492,1998,,,438575,85.74%,7845.845,7845.845,434.643,374.151,2.413,6.375,7594.505,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c4096_mr512_r1.summary.txt
gpu,8k,10000,8192,0,1,ok,330.15,18214,3727.854,1965.875,21592.97,,,,,,,,,,,,,9.133,9878.403,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c8192_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_gpu_8k_c8192_r1.summary.txt
ane,8k,10000,8192,32,1,ok,341.46,17019,4164.459,2176.133,18117.91,4281,4281,8452,,,1578000,72.93%,37216.968,37216.968,3586.203,2838.541,18.359,4.347,10036.492,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_164617_s99B/sweep_ane_8k_c8192_mr32_r1.summary.txt
