pass,ctx,prefill_chunk,variant,prefill_tps,status,log
1,16384,16384,pure_legacy_dense_simd,414.6,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_1_pure_legacy_dense_simd.log
2,16384,16384,default_routed_dense_f16_nax,554.3,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_2_default_routed_dense_f16_nax.log
3,16384,16384,default_routed_dense_w8a8,555.3,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_3_default_routed_dense_w8a8.log
4,16384,16384,forced_routed_nax_int8_dense_f16,496.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_4_forced_routed_nax_int8_dense_f16.log
5,16384,16384,forced_routed_nax_half_dense_f16,497.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_5_forced_routed_nax_half_dense_f16.log
6,16384,16384,forced_routed_nax_half_dense_w8a8,497.7,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_6_forced_routed_nax_half_dense_w8a8.log
7,16384,16384,default_routed_dense_f16_nax,555.4,ok,moe-batch-bench/profile_runs/m5m_dense_prefill_16k_pause45_20260529_081750_7_default_routed_dense_f16_nax.log
