ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,364.99,8,27.64,136750476
16384,8192,348.27,8,26.54,249505164
24576,8192,331.83,8,26.14,362259852
32768,8192,315.69,8,25.54,475014540
