ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,346.14,8,26.45,136750476
16384,8192,328.21,8,26.17,249505164
24576,8192,307.64,8,26.10,362259852
32768,8192,297.93,8,24.96,475014540
