ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,338.63,8,26.19,136750476
16384,8192,321.80,8,25.67,249505164
24576,8192,308.83,8,25.50,362259852
32768,8192,295.84,8,25.32,475014540
