ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,200.00,8,21.48,136750476
16384,8192,184.39,8,21.54,249505164
24576,8192,175.25,8,20.48,362259852
32768,8192,170.20,8,20.84,475014540
