ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,332.18,8,25.88,136750476
16384,8192,321.17,8,26.07,249505164
24576,8192,313.86,8,25.62,362259852
32768,8192,286.59,8,24.59,475014540
