ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,359.39,8,26.92,136750476
16384,8192,339.65,8,26.41,249505164
24576,8192,324.20,8,26.19,362259852
32768,8192,311.01,8,25.55,475014540
