ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,340.10,8,25.44,136750476
16384,8192,299.99,8,25.17,249505164
24576,8192,285.00,8,25.00,362259852
32768,8192,284.21,8,24.63,475014540
