ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,385.05,8,23.90,136750476
16384,8192,298.41,8,22.03,249505164
24576,8192,280.75,8,24.26,362259852
32768,8192,266.81,8,24.18,475014540
