ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,319.77,16,26.60,136750476
16384,8192,305.13,16,25.70,249505164
24576,8192,292.15,16,25.49,362259852
32768,8192,280.42,16,24.93,475014540
