ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,349.75,8,27.03,136750476
16384,8192,330.43,8,26.43,249505164
24576,8192,315.89,8,26.35,362259852
32768,8192,303.88,8,26.10,475014540
40960,8192,292.08,8,25.68,587769228
49152,8192,278.48,8,24.80,700523916
57344,8192,267.61,8,25.19,813278604
65536,8192,255.27,8,24.43,926033292
