ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,382.08,8,24.98,136750476
16384,8192,314.75,8,22.02,249505164
24576,8192,295.62,8,21.80,362259852
32768,8192,284.92,8,24.49,475014540
40960,8192,271.22,8,24.90,587769228
49152,8192,259.59,8,24.68,700523916
57344,8192,251.82,8,24.46,813278604
65536,8192,243.21,8,23.95,926033292
