ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,224.65,8,21.20,136750476
16384,8192,213.65,8,21.01,249505164
24576,8192,200.28,8,20.70,362259852
32768,8192,189.45,8,19.94,475014540
