ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,415.13,32,30.15,136750476
16384,8192,390.66,32,29.63,249505164
24576,8192,361.59,32,29.06,362259852
32768,8192,334.04,32,26.84,475014540
40960,8192,306.94,32,26.53,587769228
49152,8192,293.74,32,26.68,700523916
57344,8192,275.19,32,25.82,813278604
65536,8192,276.54,32,26.30,926033292
