ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,343.31,8,26.51,136750476
16384,8192,321.51,8,26.54,249505164
24576,8192,305.78,8,26.55,362259852
32768,8192,298.94,8,25.16,475014540
