ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,352.68,8,27.41,136750476
16384,8192,333.50,8,26.21,249505164
24576,8192,318.71,8,25.75,362259852
32768,8192,303.12,8,25.22,475014540
