ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,320.40,8,25.67,136750476
16384,8192,309.13,8,26.15,249505164
24576,8192,301.10,8,24.97,362259852
32768,8192,287.64,8,24.57,475014540
