ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,376.27,8,26.98,136750476
16384,8192,349.98,8,27.03,249505164
24576,8192,329.86,8,26.02,362259852
32768,8192,312.94,8,25.75,475014540
