ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,311.96,32,26.20,136750476
16384,8192,289.62,32,25.24,249505164
24576,8192,270.25,32,24.60,362259852
32768,8192,256.55,32,23.66,475014540
40960,8192,246.28,32,23.84,587769228
49152,8192,239.50,32,23.33,700523916
57344,8192,228.08,32,23.02,813278604
65536,8192,222.76,32,22.31,926033292
