ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,371.18,8,26.98,136750476
16384,8192,347.15,8,26.71,249505164
24576,8192,329.07,8,26.05,362259852
32768,8192,312.99,8,25.84,475014540
