ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,381.94,8,26.93,136750476
16384,8192,350.11,8,26.62,249505164
24576,8192,322.85,8,22.11,362259852
32768,8192,306.38,8,24.34,475014540
