ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,332.96,32,26.22,136750476
16384,8192,296.16,32,25.45,249505164
24576,8192,272.14,32,24.97,362259852
32768,8192,269.52,32,25.06,475014540
40960,8192,260.98,32,24.80,587769228
49152,8192,245.44,32,23.92,700523916
57344,8192,235.45,32,23.90,813278604
65536,8192,229.05,32,23.02,926033292
