ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,343.64,8,26.19,136750476
16384,8192,334.77,8,26.54,249505164
24576,8192,322.91,8,25.59,362259852
32768,8192,297.96,8,25.22,475014540
