ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,376.75,8,27.16,136750476
16384,8192,352.98,8,26.57,249505164
24576,8192,332.82,8,25.79,362259852
32768,8192,309.64,8,25.54,475014540
