ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,240.76,8,21.41,136750476
16384,8192,217.96,8,21.53,249505164
24576,8192,207.57,8,21.28,362259852
32768,8192,198.15,8,21.19,475014540
