ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,354.85,8,26.68,136750476
16384,8192,339.67,8,25.98,249505164
24576,8192,314.00,8,25.85,362259852
32768,8192,303.49,8,25.47,475014540
40960,8192,293.88,8,25.17,587769228
49152,8192,281.51,8,24.72,700523916
57344,8192,268.74,8,24.76,813278604
65536,8192,257.57,8,23.53,926033292
