ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,250.45,8,22.76,136750476
16384,8192,229.02,8,22.86,249505164
24576,8192,214.09,8,21.70,362259852
32768,8192,201.89,8,21.67,475014540
