ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,363.82,8,26.97,136750476
16384,8192,340.86,8,26.54,249505164
24576,8192,326.15,8,26.21,362259852
32768,8192,311.07,8,25.44,475014540
40960,8192,297.98,8,25.33,587769228
49152,8192,283.96,8,25.33,700523916
57344,8192,272.54,8,25.28,813278604
65536,8192,262.27,8,24.22,926033292
