ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,209.98,8,22.13,136750476
16384,8192,189.48,8,22.12,249505164
24576,8192,184.87,8,22.03,362259852
32768,8192,177.55,8,21.50,475014540
