ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,357.07,8,27.11,136750476
16384,8192,332.62,8,26.86,249505164
24576,8192,317.12,8,25.69,362259852
32768,8192,304.24,8,25.45,475014540
