ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,374.45,16,25.95,136750476
16384,8192,323.91,16,22.28,249505164
24576,8192,297.02,16,21.79,362259852
32768,8192,273.62,16,24.67,475014540
