ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,350.21,8,27.37,136750476
16384,8192,331.68,8,26.12,249505164
24576,8192,312.61,8,25.85,362259852
32768,8192,295.34,8,25.49,475014540
