ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
8192,8192,373.37,8,26.84,136750476
16384,8192,310.50,8,22.22,249505164
24576,8192,298.95,8,21.58,362259852
32768,8192,284.82,8,24.84,475014540
