id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_028	0	128	128	31.715614	31.301109	0.986931	63.298	9	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_028.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_028.txt
case_029	0	128	128	31.788022	35.213282	1.107753	72.727	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_029.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
case_030	0	128	128	31.671558	36.226470	1.143817	72.455	7	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_030.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_030.txt
case_031	0	128	128	31.835427	37.409694	1.175096	75.301	62	11	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_031.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_031.txt
case_032	0	128	128	31.761873	35.794834	1.126975	73.494	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_032.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_032.txt
case_033	0	128	128	31.821015	31.317490	0.984176	63.784	24	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_033.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_033.txt
case_034	0	128	128	31.809548	38.861244	1.221685	78.431	23	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_034.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_034.txt
case_035	0	128	128	31.824583	32.150319	1.010235	100.000	8	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_035.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_035.txt
case_036	0	128	128	31.776863	31.947199	1.005360	65.169	8	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_036.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_036.txt
case_037	0	128	128	31.665133	30.281151	0.956293	61.905	28	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_037.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_037.txt
case_038	0	128	128	31.787011	28.645260	0.901162	58.854	145	20	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_038.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_038.txt
case_039	0	128	128	31.779640	28.545445	0.898231	58.602	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_039.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_039.txt
case_040	0	128	128	31.637075	31.653466	1.000518	63.889	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_040.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_040.txt
case_041	0	128	128	31.800033	35.858189	1.127615	75.641	71	14	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_041.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_041.txt
case_042	0	128	128	31.863441	30.332753	0.951961	61.340	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_042.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_042.txt
case_043	0	128	128	31.848489	47.888563	1.503637	93.431	351	41	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_043.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_043.txt
case_044	0	128	128	31.782615	36.116138	1.136349	74.847	1	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_044.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_044.txt
case_045	0	128	128	31.807335	35.515275	1.116575	75.974	35	7	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_045.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_045.txt
case_046	0	128	128	31.807335	34.991512	1.100108	72.840	42	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_046.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_046.txt
case_047	0	128	128	31.801803	33.767278	1.061804	69.822	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_047.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_047.txt
case_048	0	128	128	31.677029	30.413604	0.960115	63.043	98	13	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_048.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_048.txt
case_049	0	128	128	31.782268	28.955090	0.911045	60.753	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_049.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_049.txt
case_050	0	128	128	31.830716	29.461739	0.925576	59.429	76	12	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_050.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_050.txt
case_051	0	128	128	31.633526	32.598990	1.030520	65.027	26	3	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_051.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_051.txt
case_052	0	128	128	31.811382	32.285973	1.014919	75.000	71	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_052.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_052.txt
case_053	0	128	128	31.797308	44.120329	1.387549	85.235	26	4	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_053.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_053.txt
case_054	0	128	128	31.802127	30.021888	0.944021	57.143	31	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_054.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_054.txt
case_055	0	128	128	31.795262	26.951142	0.847646	54.902	11	2	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_055.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_055.txt
case_056	0	128	128	31.784028	29.308847	0.922125	60.753	49	7	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_056.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_056.txt
case_057	0	128	128	31.782520	27.237954	0.857011	55.276	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_057.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_057.txt
case_058	0	128	128	31.637724	34.645373	1.095065	72.024	59	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_058.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_058.txt
case_059	0	128	128	31.765554	29.834674	0.939215	59.686	7	1	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_059.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_059.txt
case_060	0	128	111	31.714066	44.217065	1.394241	92.308	150	22	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_060.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_060.txt
case_061	0	128	128	31.653888	35.778045	1.130289	71.930	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_061.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_061.txt
case_062	0	128	128	31.801566	33.895011	1.065828	71.257	0	0	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_062.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_062.txt
case_063	0	128	128	31.826134	40.898110	1.285048	85.401	47	9	2	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_063.txt	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_063.txt
