id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_029	1	128	128	31.788022	25.000244	0.786467	34.043	593	89	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_029.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_029.txt
case_030	1	128	128	31.671558	29.351187	0.926736	52.000	537	79	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_030.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_030.txt
case_031	1	128	128	31.835427	35.701505	1.121439	74.815	451	78	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_031.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_031.txt
case_032	1	128	128	31.761873	28.681757	0.903025	45.641	475	70	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_032.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_032.txt
case_033	1	128	128	31.821015	26.960667	0.847260	34.335	499	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_033.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_033.txt
case_034	1	128	128	31.809548	30.899238	0.971382	61.935	408	40	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_034.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_034.txt
case_035	1	128	128	31.824583	28.845597	0.906394	48.387	465	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_035.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_035.txt
case_036	1	128	128	31.776863	29.461610	0.927140	39.535	436	65	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_036.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_036.txt
case_037	1	128	128	31.665133	26.278722	0.829895	29.804	517	76	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_037.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_037.txt
case_038	1	128	128	31.787011	27.976167	0.880113	41.546	450	71	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_038.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_038.txt
