label	prefill_ts	ane_groups	ane_refs	ane_start_fail	ane_scatter_fail	mpp_groups	mpp_refs	route	beats_gpu	beats_int8	env
ov_f24_base	197.3	1798	396842	0	0	35187	3830230	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.24 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1
ov_f24_predq	0	686	150836	0	0	12534	1274572	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.24 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1 DS4_RESIDENT_MOE_ANE_PREDEQUANT=1
ov_f24_predq_defer	0	753	165020	0	0	14267	1481572	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.24 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1 DS4_RESIDENT_MOE_ANE_PREDEQUANT=1 DS4_FLASH_MOE_ANE_DEFER_DEQUANT_COMMIT=1
ov_f10_predq	0	316	74167	0	0	14526	1547849	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.10 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1 DS4_RESIDENT_MOE_ANE_PREDEQUANT=1
ov_f40_predq	0	1368	273735	0	0	14130	1446585	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.40 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1 DS4_RESIDENT_MOE_ANE_PREDEQUANT=1
ov_f24_predq_t2	0	762	167790	0	0	14619	1527954	route=forced/resident-MPP-NAX-int8	n	n	DS4_RESIDENT_MOE_ANE_MIN_REFS=64 DS4_RESIDENT_MOE_ANE_MAX_REFS=256 DS4_CTX_GROW_BLOCK=4096 DS4_RESIDENT_MOE_ANE_NAX_FRAC=0.24 DS4_RESIDENT_MOE_ANE_NAX_OVERLAP=1 DS4_RESIDENT_MOE_ANE_PREDEQUANT=1 DS4_FLASH_MOE_ANE_THREADS=2
