mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
gpu,1k,3072,16384,0,1,fail,,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_residsmoke_161715/sweep_gpu_1k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_residsmoke_161715/sweep_gpu_1k_c16384_r1.summary.txt
ane,1k,3072,16384,32,1,ok,54.18,,,,,2165,2165,2342,,,209559,34.95%,4049.968,4049.968,3575.311,23962.266,9.707,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_residsmoke_161715/sweep_ane_1k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_residsmoke_161715/sweep_ane_1k_c16384_mr32_r1.summary.txt
