mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	byte_equal_vs_no_draft	char_lcp_vs_no_draft	token_lcp_vs_no_draft	chars	words	lines	max_repeated_line_run	early_stop	output_file
strict_byte	case_098	20	8	0.303051	26.398197	12	6	3	50.000	1	17	5	17	5	1	1	1	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_098.txt
strict_byte	case_099	22	15	0.428404	35.013679	15	12	3	80.000	1	54	9	54	9	1	1	1	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_099.txt
fast_relaxed	case_000	17	128	3.383471	37.830973	159	121	34	76.101	0	52	8	475	85	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_000.txt
fast_relaxed	case_001	18	128	4.024262	31.807074	178	107	41	60.112	0	77	14	479	62	13	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_001.txt
fast_relaxed	case_002	19	128	3.404358	37.598866	154	118	33	76.623	0	9	2	481	74	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_002.txt
fast_relaxed	case_003	19	128	4.284923	29.872182	188	111	43	59.043	0	9	2	551	98	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_003.txt
fast_relaxed	case_004	15	128	3.817697	33.528067	167	114	38	68.263	0	9	2	592	98	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_004.txt
fast_relaxed	case_005	14	128	3.475489	36.829350	161	119	35	73.913	0	52	8	422	71	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_005.txt
fast_relaxed	case_006	18	128	3.702685	34.569508	174	118	38	67.816	0	9	2	565	87	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_006.txt
fast_relaxed	case_007	14	128	3.830184	33.418760	165	114	38	69.091	0	25	5	583	92	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_007.txt
fast_relaxed	case_008	20	128	4.154466	30.810217	192	114	41	59.375	0	9	2	550	85	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_008.txt
fast_relaxed	case_009	17	128	4.287183	29.856435	198	116	44	58.586	0	69	11	614	92	10	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_009.txt
fast_relaxed	case_010	26	128	3.875103	33.031380	178	119	38	66.854	0	34	4	459	73	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_010.txt
fast_relaxed	case_011	21	128	2.889145	44.303765	147	127	30	86.395	0	52	10	457	43	16	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_011.txt
fast_relaxed	case_012	22	128	4.529569	28.258759	208	116	44	55.769	0	7	1	493	75	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_012.txt
fast_relaxed	case_013	22	128	4.699606	27.236326	190	108	46	56.842	0	11	2	503	76	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_013.txt
fast_relaxed	case_014	21	128	4.181717	30.609436	188	116	41	61.702	0	11	2	491	72	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_014.txt
fast_relaxed	case_015	22	128	3.949107	32.412391	173	116	38	67.052	0	67	11	441	67	13	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_015.txt
fast_relaxed	case_016	19	128	3.868959	33.083835	171	116	40	67.836	0	7	1	454	66	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_016.txt
fast_relaxed	case_017	26	128	3.925981	32.603316	8	7	2	87.500	0	42	7	495	72	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_017.txt
fast_relaxed	case_018	25	128	4.405468	29.054802	180	107	43	59.444	0	37	6	499	68	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_018.txt
fast_relaxed	case_019	19	128	4.137856	30.933894	187	118	43	63.102	0	53	8	459	73	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_019.txt
fast_relaxed	case_020	18	128	3.915078	32.694112	178	114	41	64.045	0	21	4	571	95	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_020.txt
fast_relaxed	case_021	18	128	2.904528	44.069122	139	120	29	86.331	0	54	11	467	85	19	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_021.txt
fast_relaxed	case_022	16	128	3.680622	34.776731	171	121	36	70.760	0	9	2	545	90	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_022.txt
fast_relaxed	case_023	14	128	3.295364	38.842447	147	117	33	79.592	0	20	2	566	91	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_023.txt
fast_relaxed	case_024	15	128	4.543645	28.171215	195	114	46	58.462	0	30	6	623	95	13	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_024.txt
fast_relaxed	case_025	20	128	3.919695	32.655602	171	116	38	67.836	0	133	22	538	92	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_025.txt
fast_relaxed	case_026	17	128	4.198136	30.489722	187	117	41	62.567	0	15	3	570	84	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_026.txt
fast_relaxed	case_027	14	128	4.078331	31.385388	184	120	40	65.217	0	40	7	605	99	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_027.txt
fast_relaxed	case_028	16	128	4.089312	31.301109	188	119	41	63.298	0	9	2	561	86	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_028.txt
fast_relaxed	case_029	18	128	3.634992	35.213282	165	120	35	72.727	0	0	0	560	82	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_029.txt
fast_relaxed	case_030	23	128	3.533328	36.226470	167	121	35	72.455	0	7	1	547	88	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_030.txt
fast_relaxed	case_031	22	128	3.421573	37.409694	166	125	34	75.301	0	62	11	443	78	15	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_031.txt
