mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
ane,8k,10000,2048,512,1,ok,277.73,,,,,176,176,571,,,120877,82.69%,1390.730,1390.730,487.046,247.822,1.478,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c2048_mr512_r1.summary.txt
gpu,8k,10000,4096,0,1,ok,291.26,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c4096_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c4096_r1.summary.txt
ane,8k,10000,4096,32,1,ok,274.48,,,,,10550,10550,12891,,,1661824,50.36%,74692.763,74692.763,15370.482,21278.606,51.013,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr32_r1.summary.txt
ane,8k,10000,4096,64,1,ok,291.30,,,,,7942,7942,10334,,,1574943,59.53%,58791.427,58791.427,12276.651,16537.910,35.639,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr64_r1.summary.txt
ane,8k,10000,4096,128,1,ok,310.73,,,,,4492,4492,6954,,,1285997,72.24%,40227.741,40227.741,8276.471,9874.570,21.259,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr128_r1.summary.txt
ane,8k,10000,4096,256,1,ok,322.51,,,,,1842,1842,4292,,,813701,74.06%,29004.369,29004.369,4943.172,4050.952,9.549,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr256_r1.summary.txt
ane,8k,10000,4096,512,1,ok,335.96,,,,,412,412,1336,,,277979,81.28%,7275.552,7275.552,1397.822,834.750,1.982,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c4096_mr512_r1.summary.txt
gpu,8k,10000,8192,0,1,ok,464.55,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c8192_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c8192_r1.summary.txt
ane,8k,10000,8192,32,1,ok,318.14,,,,,6457,6457,9219,,,1421071,60.21%,51763.158,51763.158,11096.953,14176.885,31.003,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr32_r1.summary.txt
ane,8k,10000,8192,64,1,ok,327.67,,,,,5156,5156,7973,,,1381968,67.71%,45422.249,45422.249,9559.866,11338.059,26.925,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr64_r1.summary.txt
ane,8k,10000,8192,128,1,ok,336.91,,,,,3866,3866,6749,,,1287177,74.50%,40540.071,40540.071,8103.557,8663.713,19.733,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr128_r1.summary.txt
ane,8k,10000,8192,256,1,ok,345.74,,,,,2122,2122,5100,,,987437,75.63%,35493.401,35493.401,6007.292,4586.411,11.793,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr256_r1.summary.txt
ane,8k,10000,8192,512,1,ok,363.31,,,,,690,690,2267,,,478211,82.40%,16335.956,16335.956,2592.535,1564.527,3.769,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c8192_mr512_r1.summary.txt
gpu,8k,10000,16384,0,1,ok,630.77,,,,,,,,,,,,,,,,,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c16384_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_gpu_8k_c16384_r1.summary.txt
ane,8k,10000,16384,32,1,ok,332.87,,,,,6258,6258,9163,,,1460515,62.26%,52209.590,52209.590,11055.218,13686.959,31.730,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr32_r1.summary.txt
ane,8k,10000,16384,64,1,ok,344.70,,,,,5119,5119,7980,,,1391072,68.09%,45919.163,45919.163,9632.136,11331.235,26.498,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr64_r1.summary.txt
ane,8k,10000,16384,128,1,ok,356.95,,,,,3876,3876,6846,,,1310309,74.76%,41215.178,41215.178,8198.001,8572.510,20.699,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr128_r1.summary.txt
ane,8k,10000,16384,256,1,ok,364.02,,,,,2189,2189,5272,,,1018600,75.47%,36746.543,36746.543,6232.613,4839.564,12.326,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr256_r1.summary.txt
ane,8k,10000,16384,512,1,ok,385.52,,,,,720,720,2375,,,498676,82.02%,17164.770,17164.770,2727.332,1648.028,3.977,,,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_162028_resB/sweep_ane_8k_c16384_mr512_r1.summary.txt
