label	budget	path	generation_tps	generated_tokens	decode_s	acceptance_pct	accepted	draft_slots	draft_tps	verify_proposed_tps	verify_accepted_tps	block_ms	draft_ms	verify_ms	overhead_ms	commit_ms	tau	blocks	decode_eq_draft	decode_eq_verify	decode_eq_overhead	decode_eq_block	baseline_decode_ms	unified_backend	unified_active_n	tfwd_decode_calls	tfwd_decode_avg_ms	tfwd_verify_calls	tfwd_verify_avg_ms	tfwd_verify_min_ms	tfwd_verify_max_ms	tfwd_failed_calls	tfwd_n1_avg_ms	tfwd_n2_avg_ms	tfwd_n3_avg_ms	tfwd_n4_avg_ms	tfwd_n5_avg_ms	disp_n	disp_total	disp_attn	disp_kv	disp_comp	disp_index	disp_heads	disp_output_hc	disp_ffn_pre	disp_router	disp_routed_moe	disp_ordered_sum	disp_shared	disp_post_hc	disp_target_hidden	disp_head	disp_topk	disp_read	route_n	route_slots	route_unique	route_reuse	route_dup_pct	route_pair_overlap	route_max_multiplicity	route_unique_min	route_unique_max	route_reuse125_layers	route_reuse150_layers
baseline		bench-results/dspark_phase0_planc_n64_strictv1_after_perf/baseline.err	33.41	64	1.915																																																													
dspark_b4	4	bench-results/dspark_phase0_planc_n64_strictv1_after_perf/dspark_b4.err	35.04	64	1.827	78.7	48	61	243.5	57.2	45.0	84.24	15.66	66.62	1.97	1.44	4.00	16	0.52	2.23	0.07	2.81	29.93																																											
dspark_b5	5	bench-results/dspark_phase0_planc_n64_strictv1_after_perf/dspark_b5.err	34.76	64	1.841	70.0	49	70	249.4	64.7	45.3	92.84	18.71	72.14	1.98	1.51	4.27	15	0.63	2.41	0.07	3.10	29.93																																											
dspark_unified_strict_v1_b4	4	bench-results/dspark_phase0_planc_n64_strictv1_after_perf/dspark_unified_strict_v1_b4.err	36.10	64	1.773	78.7	48	61	242.2	60.5	47.6	80.69	15.74	62.99	1.96	1.42	4.00	16	0.53	2.10	0.07	2.70	29.93	strict_v1	4	16	29.916	14	69.877	68.150	81.269	1	29.916			69.877																														
dspark_unified_strict_v1_b5	5	bench-results/dspark_phase0_planc_n64_strictv1_after_perf/dspark_unified_strict_v1_b5.err	35.95	64	1.780	70.0	49	70	250.3	68.6	48.0	88.73	18.64	68.08	2.01	1.50	4.27	15	0.62	2.27	0.07	2.96	29.93	strict_v1	5	15	29.726	12	82.627	68.946	96.671	1	29.726			68.946	83.871																													
