label	budget	path	generation_tps	generated_tokens	decode_s	acceptance_pct	accepted	draft_slots	draft_tps	verify_proposed_tps	verify_accepted_tps	block_ms	draft_ms	verify_ms	overhead_ms	commit_ms	tau	blocks	decode_eq_draft	decode_eq_verify	decode_eq_overhead	decode_eq_block	baseline_decode_ms	unified_backend	unified_active_n	tfwd_decode_calls	tfwd_decode_avg_ms	tfwd_verify_calls	tfwd_verify_avg_ms	tfwd_verify_min_ms	tfwd_verify_max_ms	tfwd_failed_calls	tfwd_n1_avg_ms	tfwd_n2_avg_ms	tfwd_n3_avg_ms	tfwd_n4_avg_ms	tfwd_n5_avg_ms	disp_n	disp_total	disp_attn	disp_kv	disp_comp	disp_index	disp_heads	disp_output_hc	disp_ffn_pre	disp_router	disp_routed_moe	disp_ordered_sum	disp_shared	disp_post_hc	disp_target_hidden	disp_head	disp_topk	disp_read	route_n	route_slots	route_unique	route_reuse	route_dup_pct	route_pair_overlap	route_max_multiplicity	route_unique_min	route_unique_max	route_reuse125_layers	route_reuse150_layers	sp_block	sp_path	sp_n	sp_layers	sp_calls	sp_indexed	sp_avg_rows	sp_raw_row_keys	sp_raw_shared_est	sp_raw_saved	sp_raw_reuse	sp_raw_common_row_keys	sp_comp_row_keys	sp_comp_shared_est	sp_comp_saved	sp_comp_reuse	sp_comp_common_row_keys	ar_block	ar_calls	ar_indexed	ar_rows	ar_max_n	ar_raw_only	ar_mixed	ar_raw_same_count	ar_raw_same_start	ar_comp_same_count	ar_raw_row_keys	ar_raw_shared_est	ar_raw_reuse	ar_comp_row_keys	ar_comp_shared_est	ar_comp_reuse	ar_zero_comp_rows	ar_pad_rows	ar_ring_rows	ar_raw_min	ar_raw_max	ar_comp_min	ar_comp_max
baseline		bench-results/dspark_current_clean_n4000_013646/baseline.err	31.62	2479	78.404																																																																																																					
dspark_b5	5	bench-results/dspark_current_clean_n4000_013646/dspark_b5.err	36.47	2479	67.972	76.1	1963	2580	275.8	62.7	47.7	99.70	18.10	79.61	2.00	1.56	4.80	517	0.57	2.52	0.06	3.15	31.63																																																																																			
