mode,prompt,ctx,chunk,min_refs,repeat,status,prefill_tps,stage_calls,stage_pread_ms,stage_upload_ms,stage_rate_mibs,ane_calls,ane_ok,ane_eval_calls,ane_refs_routed,ane_groups_routed,ane_chunk_refs,ane_pad_util,ane_wall_ms,ane_eval_ms,finish_join_ane_ms,dequant_wait_ms,output_convert_ms,same_layer_post_ms,cross_layer_post_ms,log,summary
ane,8k,10000,2048,256,1,ok,229.00,45174,9331.510,5108.672,21116.39,890,890,2156,,,410820,74.43%,6931.471,6931.471,127.674,598.112,3.804,23.975,8082.111,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr256_r1.summary.txt
ane,8k,10000,2048,512,1,ok,220.92,46627,9438.333,5212.180,21482.68,215,215,788,,,171248,84.89%,1777.639,1777.639,1.916,165.580,1.530,26.725,7678.720,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c2048_mr512_r1.summary.txt
gpu,8k,10000,4096,0,1,ok,263.56,27975,6004.927,3068.791,20810.79,,,,,,,,,,,,,5.252,8143.572,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c4096_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c4096_r1.summary.txt
ane,8k,10000,4096,32,1,ok,304.27,25606,5981.199,3215.353,18794.05,6189,6189,9002,,,1383699,60.04%,29608.523,29608.523,2028.750,3884.492,24.547,9.247,8424.008,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr32_r1.summary.txt
ane,8k,10000,4096,64,1,ok,305.97,25882,6026.297,3154.121,19030.02,4926,4926,7641,,,1312178,67.08%,26235.788,26235.788,1805.768,3140.252,19.537,11.395,7994.000,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr64_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr64_r1.summary.txt
ane,8k,10000,4096,128,1,ok,301.91,25705,5893.756,3074.384,19347.24,3070,3070,5837,,,1148567,76.86%,23582.088,23582.088,1913.527,2014.913,13.238,10.197,8378.155,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr128_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr128_r1.summary.txt
ane,8k,10000,4096,256,1,ok,294.56,26294,5901.349,3061.623,19801.97,1480,1480,4112,,,829802,78.83%,17650.616,17650.616,1418.168,1028.296,6.896,10.361,8383.082,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr256_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr256_r1.summary.txt
ane,8k,10000,4096,512,1,ok,285.26,27404,6243.610,3130.837,19732.04,491,491,1993,,,437623,85.77%,7803.778,7803.778,487.333,371.614,2.640,10.866,7955.858,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr512_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c4096_mr512_r1.summary.txt
gpu,8k,10000,8192,0,1,ok,330.24,18223,4546.898,1983.120,18836.89,,,,,,,,,,,,,7.072,9920.744,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c8192_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_gpu_8k_c8192_r1.summary.txt
ane,8k,10000,8192,32,1,ok,341.57,17029,4788.626,2210.966,16421.78,4240,4240,8452,,,1582886,73.16%,37051.615,37051.615,3599.954,2809.662,18.685,7.201,10052.338,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr32_r1.log,/Users/anemll/SourceRelease/GITHUB/ML_playground/ds4-ssd/moe-batch-bench/profile_runs/prefill_chunk_minrefs_m5max_20260602_154858_segB/sweep_ane_8k_c8192_mr32_r1.summary.txt
