sec	rss_kib	ioaccel_res_gib	ioaccel_swap_gib
0	6608	58.7G	12.0M
9	42049808	69.1G	64.8G
21	64845600	69.1G	64.8G
32	67456832	69.1G	64.8G
43	67456864	69.1G	64.8G
54	67456928	69.1G	64.8G
66	67456928	69.1G	64.8G
77	67456864	69.1G	64.8G
88	67456912	69.1G	64.9G
