case	tps	acc	tau	draft_ms	verify_ms	block_ms	upper	suspect	out	err
prefetch_on	53.87	93.3%	4.48	10.10	69.17	81.45	62.8	0	bench-results/prefetch_on_081825.out	bench-results/prefetch_on_081825.err
prefetch_off	54.05	93.3%	4.48	10.60	68.74	81.49	63.2	0	bench-results/prefetch_off_081825.out	bench-results/prefetch_off_081825.err
