sec	rss_kib	ioaccel_res_gib	ioaccel_swap_gib
0	6560	6.5G	239.1M
9	89581792	84.8G	79.9G
21	81645920	84.8G	80.4G
33	81952912	84.8G	80.4G
45	81998656	84.8G	80.4G
57	81879600	84.8G	80.4G
68	81815600	84.8G	80.4G
80	81815600	84.8G	80.4G
92	81815568	84.8G	80.4G
104	81815664	84.8G	80.6G
