sec	rss_kib	ioaccel_res_gib	ioaccel_swap_gib
0	6592	73.4G	68.5G
10	47833584	73.4G	69.1G
21	68932080	73.4G	69.1G
33	71934928	73.4G	69.1G
44	71888528	73.4G	69.1G
55	71889552	73.4G	69.1G
67	71890640	73.4G	69.1G
78	71891792	73.4G	69.1G
90	71907568	73.4G	69.2G
