sec	rss_kib	ioaccel_res_gib	ioaccel_swap_gib
0	32	NA	NA
8	41148720	64.8G	60.5G
19	61973088	64.8G	60.5G
30	62965312	64.8G	60.5G
41	62965328	64.8G	60.5G
52	62965376	64.8G	60.5G
63	62965392	64.8G	60.5G
74	62965408	64.8G	60.5G
85	62965472	64.8G	60.6G
