sec	rss_kib	ioaccel_res_gib	ioaccel_swap_gib
0	6560	75.5G	70.7G
11	47572512	75.5G	71.3G
22	70120240	75.5G	71.3G
34	74114016	75.5G	71.3G
45	74181504	75.5G	71.3G
57	74182432	75.5G	71.3G
68	74183216	75.5G	71.3G
80	74183296	75.5G	71.3G
91	74183744	75.5G	71.3G
